items,Model,subscription_info,serial number,units_remarks1,units_remarks2
Sim Card,Singtel,96562467,92323468,Terminated,19-Jul-23
Sim Card,Singtel,96562467,91545683,Terminated,4-Jul-23
Sim Card,Singtel,97141735,96769464,Terminated,4-Jul-23
Sim Card,Singtel,97141735,96648430,Terminated,4-Jul-23
Sim Card,Singtel,13593147,96759504,Terminated,4-Jul-23
Sim Card,Singtel,87569465,97360407,Terminated,4-Jul-23
Sim Card,Singtel,96562467,97125361,Terminated,28-Aug-23
Sim Card,Singtel,14096257,96191262,Terminated,30-Aug-23
Sim Card,Singtel,97141735,96776953,Terminated,30-Nov-23
Sim Card,Singtel,87569465,62555069,Terminated,NIL (No longer in use)
Sim Card,Singtel,87569465,64575311,Terminated,NIL (No longer in use)
Sim Card,Singtel,87569465,67441639,Terminated,NIL (No longer in use)
Sim Card,Singtel,96562467,91546039,Terminated,19-Jan-24
Sim Card,Singtel,96562467,92365931,Terminated,19-Jan-24
Sim Card,Singtel,87569465,80317104,Terminated,19-Jan-24
Sim Card,Singtel,96562467,91255451,Terminated,11-Mar-24
Sim Card,Singtel,96562467,96479153,Terminated,7-May-24
Sim Card,Singtel,87569465,97515528,Terminated,28-Mar-25
Sim Card,Singtel,34206661,94637018,Terminated,16-May-25
Sim Card,Singtel,96562467,97254942,Terminated,11-Jul-25
