invoice_number	invoice_date	po_number	model_id	serial_number	unit_remarks1	amount	unit_remarks3	unit_remarks2
S/I-23-11-0029	7-Nov-23	P230162	Sokkia NET1AXIIT/TE	HX0088	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	T308 - Siglap Canal (Marine Terrace Stn 1 - CB)	T308 - Siglap Canal
S/I-010541	6-Jan-21	P210002	Sokkia NET1AXTIIT/TE2	KH0570	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	T308 - Siglap Canal (Marine Terrace  Stn 1 - WB)	T308 - Siglap Canal
S/I-23-01-0200	27/1/2023	P220149	Sokkia IX-1201	XS000744	"Sokkia IX-1201 / SPBWT Automatic Tracking Function robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable
1 x thum drive"	 $16,500.00 	T313 (Bukit Panjang Bound)	T313 (T313/C922)
75401	1-Mar-11	P11028	Sokkia NET1m	103169	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	Expo Stn 2 (Bukit Panjang Bound)	T313 (T313/C922)
82923	3-Jul-12	P1200122	Sokkia NET1AX	101438	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	Tampines West MRT Stn BB (Stn 1)	Tampines N9 C10-12
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102283	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Tampines West MRT Stn BB (Stn 2)	Tampines N9 C10-12
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102215	NET05AXP51TM-21 (212040LA0) 3D Station	 USD 20,000.00 	Tampines West MRT Stn BB (Stn 3)	Tampines N9 C10-12
63829	16-Oct-08	P08174	Sokkia NET1m-II	102020	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Tampines West MRT Stn XB (Stn 1)	Tampines N9 C10-12
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102228	NET05AXP51TM-21 (212040LA0) 3D Station	 USD 20,000.00 	Tampines West MRT Stn XB (Stn 2)	Tampines N9 C10-12
80012	31-Jan-12	P1200005	Sokkia NET1AX	101374	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	Tampines West MRT Stn XB (Stn 3)	Tampines N9 C10-12
S/I-006830	25-Nov-19	P1900225	Sokkia NET1AXTIIT/TE2	KH0485	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	Fort Canning MRT Stn (Stn 1)	"The Legend
(Liang Court)"
